Название,Дата,Категория,Описание
Выставка "Модерн в России",1-15 апреля 2025,Искусство,Уникальная выставка произведений модернистов, представленных в России.
Концерт группы "Ленинград",5 апреля 2025,Музыка,Шоу от известной российской рок-группы с безудержным энергетикой.
Спортивный фестиваль "Питерские прыжки",10-12 апреля 2025,Спорт,Соревнования по прыжкам в высоту, длину и на батутах для всех желающих.
Лекция "Будущее искусственного интеллекта",17 апреля 2025,Наука,Исследование последних тенденций в области искусственного интеллекта.
Фестиваль стрит-фуда "Вкусные уголки Петербурга",20-22 апреля 2025,Еда,На улицах города будут представлены лучшие гастрономические предложения.
Конференция "Цифровые технологии в бизнесе",25 апреля 2025,Технологии,Обсуждение применения цифровых технологий для развития бизнеса.
Мастер-класс "Живопись акварелью",8 апреля 2025,Искусство,Обучение технике акварели и созданию удивительных произведений.
Театрализованное представление "Золушка: новая версия",12-14 апреля 2025,Развлечения,Интересная интерпретация классической сказки на современный лад.
Фестиваль науки "Петербургский гений",26-28 апреля 2025,Наука,Демонстрации научных экспериментов и лекции от ведущих ученых города.
Выставка современного искусства "Грани времени",3-30 апреля 2025,Искусство,Экспозиция произведений современных художников, отражающих дух времени.
